period,county,Total Dewormed,Acute Malnutrition,stunted 6-23 months,stunted 0-<6 months,stunted 24-59 months,diarrhoea cases,Underweight 0-<6 months,Underweight 6-23 months,Underweight 24-59 Months
Jan-23,Baringo County,3659,8,471,34,380,2620,85,739,731
Jan-23,Bomet County,1580,,1,3,,1984,41,86,16
Jan-23,Bungoma County,6590,24,98,154,23,4576,231,315,120
Jan-23,Busia County,7564,,396,143,111,2239,251,608,125
Jan-23,Elgeyo Marakwet County,1407,,92,71,5,2739,57,104,21
Jan-23,Embu County,3241,72,326,86,24,1376,141,544,160
Jan-23,Garissa County,6751,250,40,13,99,2314,223,1856,1833
Jan-23,Homa Bay County,4691,9,209,87,58,2787,140,298,84
Jan-23,Isiolo County,790,26,51,6,50,1319,13,180,271
Jan-23,Kajiado County,7532,104,319,102,155,4202,139,840,577
Jan-23,Kakamega County,8044,36,252,279,292,4307,373,547,110
Jan-23,Kericho County,2070,,8,13,5,4175,126,415,55
Jan-23,Kiambu County,7891,183,530,385,88,4720,723,1595,239
Jan-23,Kilifi County,9991,81,1690,267,360,6228,339,2291,674
Jan-23,Kirinyaga County,2148,,157,17,8,2040,172,593,53
Jan-23,Vihiga County,2576,28,200,96,28,906,84,356,44
Jan-23,Uasin Gishu County,7878,1,152,77,39,6155,242,598,88
Jan-23,Turkana County,8336,189,1272,505,1194,7053,532,3465,3940
Jan-23,Trans Nzoia County,2603,248,236,162,22,1862,281,538,74
Jan-23,Tharaka Nithi County,3381,33,212,102,51,1599,154,479,121
Jan-23,Tana River County,1954,233,125,13,83,2072,15,526,672
Jan-23,Taita Taveta County,1624,1,231,95,51,1062,189,624,180
Jan-23,Siaya County,3843,3,16,111,16,2421,170,239,71
Jan-23,Samburu County,1338,60,141,15,104,2384,76,519,733
Jan-23,Nyeri County,2969,18,166,194,22,1077,345,374,44
Jan-23,Nyandarua County,3072,,110,119,6,1540,188,350,43
Jan-23,Nyamira County,2091,,97,58,5,1100,66,141,9
Jan-23,Narok County,5820,56,67,57,32,2856,99,638,68
Jan-23,Nandi County,1986,,117,47,7,1957,102,725,46
Jan-23,Nakuru County,9694,120,396,248,44,7420,579,1323,222
Jan-23,Nairobi County,19893,279,2518,1243,371,9361,1474,3544,646
Jan-23,Muranga County,4745,31,1036,236,86,2049,350,1002,122
Jan-23,Mombasa County,3304,451,437,88,68,3089,322,1306,254
Jan-23,Migori County,6739,29,186,68,61,2593,103,283,112
Jan-23,Meru County,4733,26,137,215,29,2767,185,430,73
Jan-23,Marsabit County,2667,165,475,18,581,1344,20,1126,1511
Jan-23,Mandera County,4536,394,261,107,100,7531,276,509,594
Jan-23,Makueni County,6497,121,573,62,392,3582,126,1207,834
Jan-23,Machakos County,7594,65,78,20,89,3783,338,1330,215
Jan-23,Lamu County,225,,48,12,11,726,18,72,19
Jan-23,Laikipia County,4473,22,303,225,111,1401,457,830,304
Jan-23,Kwale County,7968,271,806,123,602,3291,204,1444,1076
Jan-23,Kitui County,6264,42,770,186,401,3576,234,1692,821
Jan-23,Kisumu County,4840,207,91,67,55,3265,201,429,104
